Dataset,Algorithm,Training Time,homo,compl,v-meas,ARI,AMI,silhouette,AIC,BIC
letter,random tied 12,0.22999978065490723,1.0,1.0,1.0,1.0,1.0,-0.022974010302619585,1257532.4817834517,1260211.7640637616
letter,random tied 13,0.23000001907348633,1.0,1.0,1.0,1.0,1.0,-0.018369442163792316,1257566.4760046371,1260380.11757334
letter,random tied 14,0.24699997901916504,1.0,1.0,1.0,1.0,1.0,-0.035745720202255055,1257600.4817516338,1260548.4826087297
letter,random tied 15,0.2720000743865967,1.0,1.0,1.0,1.0,1.0,-0.064808183677369152,1257634.4861271926,1260716.8462726816
letter,random tied 16,0.2839999198913574,1.0,1.0,1.0,1.0,1.0,-0.043047686023656648,1257668.4791221879,1260885.1985560702
letter,random tied 17,0.2950000762939453,1.0,1.0,1.0,1.0,1.0,-0.041994755467932257,1257702.4846575982,1261053.5633798735
letter,random tied 18,0.33700013160705566,1.0,1.0,1.0,1.0,1.0,-0.068803259440618408,1257736.4846533807,1261221.9226640491
letter,random tied 19,0.4160001277923584,1.0,1.0,1.0,1.0,1.0,-0.042839944647278978,1257770.4826567885,1261390.27995585
letter,random tied 20,0.3450000286102295,1.0,1.0,1.0,1.0,1.0,-0.043097220408593172,1257804.4840570649,1261558.6406445196
letter,random tied 21,0.4869999885559082,1.0,1.0,1.0,1.0,1.0,-0.060619779340588875,1257838.4835668516,1261726.9994426994
letter,random tied 22,0.45200014114379883,1.0,1.0,1.0,1.0,1.0,-0.072823245189600649,1257872.4778436741,1261895.353007915
letter,random tied 23,0.4009997844696045,1.0,1.0,1.0,1.0,1.0,-0.084143331409758368,1257906.4822236986,1262063.7166763328
letter,random tied 24,0.41100001335144043,1.0,1.0,1.0,1.0,1.0,-0.076965960459773261,1257940.4839177039,1262232.077658731
letter,random tied 25,0.4179999828338623,1.0,1.0,1.0,1.0,1.0,-0.077032259453025637,1257974.4823582813,1262400.4353877015
letter,random tied 26,0.4069998264312744,1.0,1.0,1.0,1.0,1.0,-0.073692597755896094,1258008.4823340923,1262568.7946519055
letter,random tied 27,0.42600011825561523,1.0,1.0,1.0,1.0,1.0,-0.10680210352897232,1258042.4826891343,1262737.1542953409
letter,random tied 28,0.4660000801086426,1.0,1.0,1.0,1.0,1.0,-0.057013731013104495,1258076.4820765916,1262905.5129711912
letter,random tied 29,0.4550001621246338,1.0,1.0,1.0,1.0,1.0,-0.067918245329179575,1258110.4828017324,1263073.8729847251
letter,random tied 30,0.5269999504089355,1.0,1.0,1.0,1.0,1.0,-0.073533175900812764,1258144.4826760301,1263242.2321474159
letter,random tied 31,0.5240001678466797,1.0,1.0,1.0,1.0,1.0,-0.10243074088432991,1258178.4818528332,1263410.5906126122
letter,random diag 2,0.07999992370605469,1.0,1.0,1.0,1.0,1.0,0.16892316555496545,1360027.5794026651,1360541.3060935801
letter,random diag 3,0.18000006675720215,1.0,1.0,1.0,1.0,1.0,0.098716583668731581,1333347.3834852295,1334121.9252653781
letter,random diag 4,0.1640000343322754,1.0,1.0,1.0,1.0,1.0,0.090501593903358227,1312450.7625186546,1313486.1193880369
letter,random diag 5,0.21199989318847656,1.0,1.0,1.0,1.0,1.0,0.094119883944086657,1300983.582273623,1302279.754232239
letter,random diag 6,0.4589998722076416,1.0,1.0,1.0,1.0,1.0,0.068558176887353175,1285308.7794678889,1286865.7665157386
letter,random diag 7,0.6420001983642578,1.0,1.0,1.0,1.0,1.0,0.040072903909302508,1190889.6221627584,1192707.4242998417
letter,random diag 8,0.6679999828338623,1.0,1.0,1.0,1.0,1.0,0.023699111780108792,1186704.0419329966,1188782.6591593137
letter,random diag 9,0.5,1.0,1.0,1.0,1.0,1.0,0.020226678584140161,1176876.7215798032,1179216.1538953539
letter,random diag 10,0.5160000324249268,1.0,1.0,1.0,1.0,1.0,0.016019641978702467,1175971.7818873082,1178572.0292920927
letter,random diag 11,0.7669999599456787,1.0,1.0,1.0,1.0,1.0,0.024483430590532068,1164933.7233292516,1167794.7858232697
letter,random diag 12,0.7660000324249268,1.0,1.0,1.0,1.0,1.0,0.010794752202547268,1159442.5291633953,1162564.4067466471
letter,random diag 13,1.051999807357788,1.0,1.0,1.0,1.0,1.0,-0.0099745428031495983,1124773.8577744232,1128156.5504469087
letter,random diag 14,1.0329999923706055,1.0,1.0,1.0,1.0,1.0,-0.0098097290927536326,1104895.2563962238,1108538.764157943
letter,random diag 15,1.117999792098999,1.0,1.0,1.0,1.0,1.0,0.013948323356862673,1144946.167462107,1148850.4903130599
letter,random diag 16,1.7030000686645508,1.0,1.0,1.0,1.0,1.0,-0.01559646851051865,1096751.7336395343,1100916.8715797209
letter,random diag 17,1.198000192642212,1.0,1.0,1.0,1.0,1.0,0.0060692529139552871,1139500.5249265521,1143926.4779559723
letter,random diag 18,1.7079999446868896,1.0,1.0,1.0,1.0,1.0,-0.02453386340498423,1108084.5523411056,1112771.3204597596
letter,random diag 19,1.4500000476837158,1.0,1.0,1.0,1.0,1.0,-0.0094876484922816143,1076549.7881652196,1081497.3713731072
letter,random diag 20,1.3519999980926514,1.0,1.0,1.0,1.0,1.0,-0.0098404871038603476,1072155.8627472681,1077364.2610443893
letter,random diag 21,1.4040000438690186,1.0,1.0,1.0,1.0,1.0,0.023340210775215347,1088238.3349676572,1093707.5483540122
letter,random diag 22,2.743000030517578,1.0,1.0,1.0,1.0,1.0,-0.025813816678985437,1080203.5751150404,1085933.6035906291
letter,random diag 23,1.7630000114440918,1.0,1.0,1.0,1.0,1.0,-0.018316645530887139,1068796.9577142261,1074787.8012790484
letter,random diag 24,1.9869999885559082,1.0,1.0,1.0,1.0,1.0,0.017727396477930649,1087910.1600030125,1094161.8186570685
letter,random diag 25,4.0,1.0,1.0,1.0,1.0,1.0,-0.065586266451207159,1017957.8221777808,1024470.2959210706
letter,random diag 26,2.046999931335449,1.0,1.0,1.0,1.0,1.0,0.011353390691303752,1079010.0785695664,1085783.3674020898
letter,random diag 27,3.0460000038146973,1.0,1.0,1.0,1.0,1.0,-0.054561849329272369,1010621.4754711896,1017655.5793929468
